GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Aamdc_9	11315	4227	5.566e-01	4.593e+00	3.801e+00	-3.741e-01	-8.364e-01	1.000e+00	1.000e+00
Aamdc_10	23850	5300	5.660e-01	5.246e+00	3.291e+00	4.718e-01	-1.272e+00	1.000e+00	1.000e+00
Aasdhppt_2	13253	3729	6.000e-01	4.172e+00	3.935e+00	2.902e+00	8.109e+00	5.646e-05	1.666e-04
Abat_3	10172	3830	5.642e-01	8.923e-01	2.706e+00	4.556e+00	1.788e+01	2.231e-09	1.153e-08
Abca3_4	3841	869	3.755e-01	3.391e+00	4.969e+00	-1.590e+00	1.311e+00	1.054e-01	1.491e-01
Abhd10_1	62890	2512	7.132e-01	-7.863e+00	3.772e+00	2.630e+00	7.102e+00	1.641e-04	4.477e-04
Abhd10_2	15487	7263	6.245e-01	5.094e+00	3.675e+00	-1.667e-01	1.002e+00	1.569e-01	2.107e-01
Abhd14a_1	14219	4186	5.208e-01	-3.735e+00	5.764e+00	1.586e+00	3.750e-01	3.865e-01	4.555e-01
Abhd14a_3	13911	3878	5.189e-01	-3.866e+00	5.556e+00	1.643e+00	4.043e-01	3.685e-01	4.365e-01
Abi1_8	11912	1739	6.849e-01	-1.460e+00	3.908e+00	-1.518e+00	3.597e+00	7.317e-03	1.427e-02
Abi2_2	7453	2911	6.358e-01	4.984e+00	4.483e+00	-7.983e+00	6.227e+01	6.414e-29	1.026e-27
Abi2_7	5795	999	5.906e-01	-1.856e+00	3.473e+00	-1.181e-01	-8.384e-01	1.000e+00	1.000e+00
Ablim1_3	3365	972	3.358e-01	1.132e+00	4.460e+00	1.153e+00	4.783e-01	3.281e-01	3.930e-01
Ablim1_7	1159	441	2.774e-01	-5.049e+00	4.461e+00	-1.654e+00	6.198e-01	2.655e-01	3.285e-01
Ablim2_4	6690	1896	4.377e-01	7.494e-01	4.153e+00	-3.013e+00	3.025e+00	1.391e-02	2.506e-02
Ablim2_6	7284	1595	4.321e-01	-7.624e+00	2.975e+00	9.273e+00	2.371e+01	5.747e-12	3.875e-11
Ablim2_8	2819	719	4.075e-01	-7.392e+00	3.977e+00	2.372e+00	1.655e+00	6.883e-02	1.038e-01
Ablim2_nmdSE_1	4331	1496	4.189e-01	-5.474e+00	2.876e+00	-8.366e-01	-1.030e+00	1.000e+00	1.000e+00
Ablim3_5	3931	1806	3.679e-01	8.744e+00	3.716e+00	-6.751e+00	2.272e+01	1.571e-11	1.023e-10
Abtb1_1	4718	1307	3.811e-01	1.834e+00	4.951e+00	-1.084e+00	1.229e+00	1.169e-01	1.635e-01
Acad8_2	6407	2430	3.472e-01	6.246e+00	3.711e+00	-1.587e-01	3.125e-02	8.026e-01	8.977e-01
Acad9_1	9405	3696	5.189e-01	5.095e+00	3.699e+00	1.119e+00	1.343e+00	1.012e-01	1.445e-01
Acbd5_5	6112	2669	5.396e-01	5.319e+00	3.141e+00	5.924e-01	3.506e-01	4.024e-01	4.713e-01
Acin1_7	2883	1228	5.849e-01	-4.294e+00	3.182e+00	-1.632e-01	-6.809e-01	1.000e+00	1.000e+00
Acin1_12	4085	1265	4.623e-01	-2.616e+00	5.614e+00	3.318e+00	5.497e+00	9.140e-04	2.157e-03
Acly_6	28163	3995	8.943e-01	-9.035e-01	1.656e+00	-5.335e-01	2.712e+00	1.986e-02	3.419e-02
Acot8_1	11291	3890	4.868e-01	7.730e-01	5.785e+00	2.445e+00	1.886e+00	5.213e-02	8.244e-02
Acsf3_1	6882	2279	4.528e-01	3.429e-01	5.031e+00	3.994e+00	8.013e+00	6.250e-05	1.832e-04
Acsl3_1	24804	4043	8.830e-01	-4.086e-01	3.610e+00	2.144e-01	-7.158e-01	1.000e+00	1.000e+00
Acss2_2	13755	6414	4.302e-01	7.771e+00	3.573e+00	-1.442e+00	4.609e-01	3.370e-01	4.027e-01
Actl6b_4	30837	15324	9.396e-01	5.309e+00	2.799e+00	-9.936e-01	3.238e+00	1.093e-02	2.015e-02
Actr3b_2	2908	710	3.245e-01	4.151e+00	4.461e+00	-5.033e+00	8.005e+00	6.299e-05	1.839e-04
Adamts10_3	3752	1556	2.547e-01	4.926e+00	3.733e+00	-1.550e+00	1.084e+00	1.409e-01	1.924e-01
Adck4_2	6777	3238	3.660e-01	4.868e+00	4.085e+00	-1.360e+00	2.273e+00	3.300e-02	5.399e-02
Adcyap1r1_3	9418	3394	5.472e-01	2.139e+00	4.166e+00	5.168e+00	2.189e+01	3.681e-11	2.213e-10
Adcyap1r1_4	8564	2540	5.453e-01	1.293e+00	4.034e+00	5.274e+00	2.522e+01	1.226e-12	8.767e-12
Add1_2	153020	6134	9.623e-01	7.806e+00	3.279e+00	-7.014e+00	1.002e+02	1.761e-45	6.156e-44
Add1_4	149775	2889	9.623e-01	4.469e+00	2.780e+00	-5.356e+00	8.663e+01	1.429e-39	3.647e-38
Add1_6	31617	6480	9.358e-01	-6.241e+00	3.855e+00	2.415e+00	1.539e+01	2.894e-08	1.313e-07
Add1_7	26921	4046	8.962e-01	-6.463e+00	4.083e+00	-1.447e+00	3.750e+00	6.170e-03	1.224e-02
Adgrb2_3	3543	714	3.358e-01	-8.101e+00	4.421e+00	5.537e+00	9.633e+00	1.137e-05	3.663e-05
Adgrb3_4	22313	3317	5.849e-01	6.031e+00	5.289e+00	-4.657e+00	1.475e+01	5.597e-08	2.481e-07
Adgrl2_7	12566	210	4.208e-01	1.551e+00	3.174e+00	-1.253e-01	-3.782e-01	1.000e+00	1.000e+00
Adgrl2_10	24368	619	5.038e-01	-1.774e+00	4.364e+00	-4.011e+00	7.105e+00	1.635e-04	4.473e-04
Adgrl2_16	4155	601	3.566e-01	-2.233e+00	3.597e+00	7.849e+00	3.026e+01	7.264e-15	6.015e-14
Adgrl2_21	3001	537	3.566e-01	-1.721e-01	3.623e+00	6.875e-01	6.138e-01	2.679e-01	3.310e-01
Adpgk_1	11761	5849	4.585e-01	5.119e+00	4.001e+00	1.297e+00	2.431e+00	2.747e-02	4.581e-02
Adprm_1	19173	1898	4.340e-01	3.045e+00	2.760e+00	-1.357e-01	-2.031e-01	1.000e+00	1.000e+00
Adsl_4	9868	3678	5.849e-01	5.979e+00	2.532e+00	-1.041e+00	1.209e+00	1.200e-01	1.670e-01
Aen_1	9242	5109	3.887e-01	1.544e+00	5.948e+00	1.927e+00	1.844e+00	5.479e-02	8.592e-02
