mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
Doc2g,37968.0,True,1481.0,6.154644188685363,4592.900205811283,2.3579174564060175
Slc29a2,27065.0,True,4992.0,4.387258875020263,2325.2383006724344,1.8261138642974861
Pcx,311826.0,True,4638.0,50.5472523909872,49648.63950647341,1.8782929231529704
Apba1,166574.0,True,2888.0,27.001783109093857,23602.342085017153,2.0291006533444795
Papss2,50218.0,True,696.0,8.140379315934512,7524.554544668028,2.744372858967381
Cpt1a,165657.0,True,2697.0,26.85313665099692,23744.730697439336,2.0552663164343814
Peli3,14897.0,True,8016.0,2.4148160155616796,878.9950528236346,1.4920866079745787
Lao1,3927.0,True,621.0,0.6365699465067272,296.1380009435908,2.7965841119918027
Tesmin,974.0,True,2592.0,0.1578862052196466,46.8278564909397,2.070594241029464
Ppp6r3,128585.0,True,8537.0,20.843734803047496,12224.202879434199,1.4428056010772012
Ctsw,19722.0,True,1293.0,3.196952504457773,2054.8041022547154,2.425836751469769
Fibp,149272.0,True,1082.0,24.197114605284487,52477.968435252915,2.5220029067776135
Fosl1,3638.0,True,4794.0,0.5897228075863187,156.08505000421545,1.85473665077051
Lrp5,29072.0,True,8664.0,4.712595234235694,1998.7784421774156,1.4335875438930161
Ovol1,458.0,True,4003.0,0.07424217863511104,7.130998229926251,1.9783228745069712
Kcnk4,2285.0,True,1362.0,0.37040038904198413,113.68330660036301,2.4032692883088256
Lgals12,2167.0,True,1472.0,0.3512724914897066,136.41663302706579,2.3621067807964073
Hrasls5,597.0,True,3302.0,0.0967741935483871,18.99468641479436,2.0040924674895884
Pdcd4,86960.0,True,5513.0,14.096287891068245,9323.023801068855,1.7578610728407484
Tectb,534.0,True,9490.0,0.08656184146539148,6.133880670664313,1.3703518433393793
Zdhhc6,110799.0,True,9254.0,17.960609499108447,9833.410413117426,1.3876340814459858
Tcf7l2,199470.0,True,8196.0,32.33425190468471,21541.17570891254,1.4750265861576433
Rbp4,4525.0,True,5947.0,0.7335062408818285,226.33623285668122,1.7073784555817968
Fam45a,173964.0,True,9977.0,28.199708218511915,16399.119318981,1.3360468697525762
Plce1,50387.0,True,5910.0,8.167774355649215,4714.398403622228,1.7124502692203782
Sorbs1,323328.0,True,7568.0,52.41173609985411,42666.55920724811,1.5350025847455142
Ccnj,34080.0,True,403.0,5.52439617442049,8064.867149542112,3.045331899659985
Pik3ap1,471.0,True,2127.0,0.07634948938239584,7.958015465386007,2.16730293242929
Slit1,12212.0,True,667.0,1.9795752958340087,2203.544329845538,2.7703452523119316
Xpnpep1,225312.0,True,4661.0,36.52326146863349,32037.072942927898,1.8756584154361746
5430427O19Rik,489.0,True,3214.0,0.07926730426325174,16.810349917025825,2.00587633538733
Vwa2,281.0,True,4585.0,0.045550332306694766,3.0853113418647564,1.8839141352629933
Afap1l2,154383.0,True,6448.0,25.025611930620848,17451.568410070522,1.6467448109026732
Ablim1,622510.0,True,4142.0,100.90938563786675,142890.56782531965,1.9564624081290056
Trub1,40602.0,True,7808.0,6.5816177662506075,3198.9087476418117,1.5125464992086517
Gfra1,158225.0,True,6715.0,25.648403306856864,17669.5441612796,1.6179813939006178
Hspa12a,19314.0,True,5925.0,3.1308153671583727,1410.0157963681424,1.7105377733236409
Bnc1,79.0,True,3987.0,0.012805965310423084,0.4348230104961862,1.9818195219543113
Gcgr,1420.0,True,1162.0,0.23018317393418705,100.60491891910075,2.486914770169016
Pycr1,24923.0,True,1662.0,4.040038904198411,2809.900633980328,2.300886220277958
Lrrc45,45764.0,True,1961.0,7.4183822337493925,5403.128916254003,2.2072762318624735
Cbr2,8209.0,True,242.0,1.3306856864970011,907.0855060310548,3.373540796901005
Fasn,262866.0,True,2934.0,42.610795915059164,42372.0629897847,2.0245751217327776
Arhgap19,5726.0,True,2746.0,0.9281893337656022,332.59811735973705,2.048783757187625
Slc16a3,25718.0,True,6207.0,4.168909061436214,1999.358300382293,1.675534249335444
Cd7,2258.0,True,7890.0,0.3660236667207003,62.07514892356431,1.5043065952748422
Ankrd2,595.0,True,1524.0,0.09644999189495866,13.849483180094438,2.3454946650170334
Hps1,32300.0,True,4062.0,5.235856702869184,3131.8670279664925,1.9668590121553169
Got1,319678.0,True,2768.0,51.82006808234722,55963.87261277098,2.04543695870888
Cpn1,703.0,True,8258.0,0.11395688118009402,10.180753617466017,1.4697190952316221
Scd3,104963.0,True,8034.0,17.01458907440428,9892.353872727514,1.4901072034487823
Sfxn3,151645.0,True,8798.0,24.581779867077323,14748.888293135064,1.4224541808076652
Kazald1,40094.0,True,4237.0,6.499270546279786,4037.4835030346076,1.9386890686241727
Lbx1,42.0,True,8179.0,0.006808234721997083,0.08847504120325489,1.47631046872073
Fgf8,82.0,True,3751.0,0.013292267790565733,0.5500826903438997,2.0011852417768643
Kcnip2,36568.0,True,6011.0,5.92770303128546,3161.4999603683455,1.7001498166065123
Bbs4,89623.0,True,6116.0,14.527962392608202,9271.757040610777,1.6867392865958437
Parp6,35939.0,True,1526.0,5.825741611282218,4267.9720609974265,2.345130865029161
Slc6a20b,849.0,True,8219.0,0.1376236018803696,13.688417244164002,1.473190967381826
Ribc1,5421.0,True,7095.0,0.8787485816177663,275.9882139979004,1.5790795729789473
Alas2,14169.0,True,742.0,2.2968066137137297,7005.194641227349,2.7153568117882685
Abhd6,297166.0,True,265.0,48.17085427135678,100829.85812574545,3.3074954421612723
Flnb,200778.0,True,8455.0,32.54627978602691,21361.279026770608,1.4505200132853817
Jph3,61399.0,True,227.0,9.952828659426164,12933.777930145898,3.4430624754528854
Atp10a,81606.0,True,4987.0,13.228400064840331,8978.804018208275,1.826559176658455
Gpr143,741.0,True,9265.0,0.12011671259523424,38.24610789817881,1.3866450367753567
Itga7,92613.0,True,237.0,15.012643864483708,19450.106033362285,3.4034652846306317
Rdh5,19626.0,True,9957.0,3.181390825093208,1125.5210803610116,1.337221015997165
Pmel,21857.0,True,4539.0,3.5430377694926243,1831.5497444021075,1.8918684171819855
Faap100,106742.0,True,1106.0,17.30296644512887,17004.667437696833,2.509845782895845
Pde6g,875.0,True,2347.0,0.1418382233749392,39.06142859185262,2.119862847423496
Tac2,8630.0,True,158.0,1.3989301345436862,2956.7223140302995,3.6800503523637875
Shmt2,138485.0,True,7588.0,22.448532987518238,14219.916327695126,1.5327151038662927
