X_scVI1,X_scVI2,X_scVI3,X_scVI4,X_scVI5,X_scVI6,X_scVI7,X_scVI8,X_scVI9,X_scVI10,X_umap1,X_umap2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_tsne1,X_tsne2
0.77990025,0.7587174,-0.92604804,1.8474942,-1.4267902,-0.6473619,0.8017243,0.21100807,-0.22753787,-2.0194256,6.8802805,7.756104,-5.1913924,8.77814,6.1597548,-4.369527,10.643563,3.652017,-1.7554196,-2.9879627,-0.18340573,3.2101235,-0.46998903,0.8588404,-1.3189876,1.2951727,-0.2652357,0.50239354,0.40494776,0.025134379,-1.6918428,0.73856854,-0.69676125,1.0566092,-0.032181147,-0.3208944,-0.0051390147,-1.4538194,1.7276279,-0.22485669,-1.8093411,-1.7494829,-0.48545814,-0.11170891,2.1751556,1.5302064,-1.1847848,0.24101599,0.39312157,-1.6917144,1.7164667,1.0663071,-0.11127677,-0.51972455,-0.39491728,-0.3499986,-0.580748,0.99439985,1.7336247,1.5953089,0.12478216,-0.0151813645,0.89518136,-70.51118
0.53087354,0.91544354,-0.12137586,-0.7523948,-1.0907491,0.1369124,-1.1695993,0.7683641,-0.16332012,-1.1372312,-1.4207668,9.338182,-6.183483,-5.111289,-2.7184346,0.5397949,-0.111610316,1.1991911,2.9994318,-0.9446098,-2.8027973,1.7741436,-0.28167856,-0.52728736,-2.7937565,-0.79991215,0.15175691,0.08698313,0.7710143,0.02516049,0.16040917,1.0565193,1.282765,1.8514051,-1.0144925,-0.3630472,0.25171196,1.0675447,0.015568123,-2.353838,-0.3483892,-1.8220437,1.2170894,1.1522017,0.90351844,-0.0020872597,-0.8603929,0.14184321,0.41024074,0.56816506,-0.65004873,-0.22885346,-0.2512299,0.817894,-0.18243259,0.58179516,-0.2956154,-0.2783093,-1.3901962,0.8549848,-0.03716503,-0.6402389,7.101899,-29.387314
-0.52111036,0.86186874,0.98038054,0.19949746,0.24005544,-0.1549781,0.37071,0.48497126,-2.0387979,-0.60016525,0.81068254,2.9291675,-9.295157,19.703547,-6.60965,1.8400034,-3.4598813,0.6360072,-0.92624986,-1.7981939,-0.10741349,4.191386,-0.7660544,0.44680935,0.033765033,-1.6582905,2.2428536,0.92068064,0.22186168,-0.38712263,-1.8202604,0.47188976,-1.8354108,-0.5059654,1.3594195,1.3084954,1.2154989,1.769135,0.8459339,1.7006966,-1.3325906,-0.28461435,-1.1443117,-2.3522718,-1.3733652,0.18873636,-0.6327118,-1.1923032,0.7882357,1.0397319,-1.5338752,1.4317138,-1.3938407,0.18306312,-1.596802,1.5732405,-2.7745748,0.35597184,-1.2818062,-0.23523414,-0.7775713,0.64451426,53.629898,25.730316
-0.51577085,0.88966024,0.9738653,0.18219376,0.1730715,-0.12947991,0.28789198,0.50438607,-1.9950964,-0.60562736,0.9047841,2.972074,-9.334185,19.65406,-6.6640515,1.8423482,-3.4322307,0.60142624,-0.8663778,-1.7294929,-0.086502485,4.108311,-0.69644976,0.5177812,0.1356285,-1.3280083,2.2057705,0.99134624,0.13519573,-0.3938174,-1.8376036,0.630615,-1.8093292,-0.6340418,1.2522539,1.2806332,1.3412701,1.7961471,0.8313652,1.6727195,-1.395941,-0.2723838,-1.1281723,-2.2821262,-1.3651582,0.03231915,-0.70332414,-1.2300279,0.9877979,1.0750978,-1.4106026,1.4071882,-1.3663882,0.2886725,-1.6433778,1.5618522,-3.0460107,0.24700978,-1.2272087,-0.24022605,-0.6699043,0.42975226,53.62585,25.726543
-1.2491379,0.8372034,0.27442184,0.6005305,-0.36156034,0.4852137,-0.26310515,0.6225202,-2.0252287,-1.2922611,1.991539,2.846455,-8.318354,17.966532,-4.986145,2.0836415,-2.6093278,1.9063964,-0.590945,-3.1782832,0.6696948,3.4577208,-2.9640608,2.528687,-3.2709346,0.54531366,3.3011353,2.4451778,1.2971493,-0.2517014,-0.22236933,0.055875834,-1.1044792,-1.3089751,3.0227897,0.13002272,3.7394166,0.49868658,1.5107105,0.14143471,-0.41322187,-1.88956,-1.3725704,1.8758801,1.3418283,1.9704591,1.3951875,0.38380876,-1.3245467,0.35376468,-0.35213354,0.047648825,0.54572904,-0.8645065,1.4245267,0.8248804,-1.2370803,-0.039484713,0.76272565,1.4227211,0.04830138,0.14487799,34.820526,19.181557
-1.2781012,0.88873005,0.2238707,0.5509722,-0.3545943,0.49807423,-0.3448549,0.5679627,-2.031408,-1.2906046,1.8849972,2.8722265,-8.352687,17.997385,-5.0260673,1.9602025,-2.7113826,1.8824561,-0.59162265,-3.206153,0.6721394,3.3620808,-2.9115698,2.6265643,-3.1463106,0.573654,3.3119876,2.382143,1.2624495,-0.33246675,-0.26759666,-0.0871215,-1.164531,-1.3661581,3.047362,0.18840909,3.7154427,0.5572595,1.5855575,0.11967398,-0.38325238,-1.8267027,-1.2544744,1.9033024,1.2557087,2.017803,1.2677569,0.4549643,-1.1819621,0.35138488,-0.35136172,-0.01756224,0.38062876,-0.726656,1.5063788,0.8145114,-1.1537143,-0.01643261,0.8113041,1.3655571,0.011191983,0.070467554,34.820194,19.195839
0.121968806,0.20640743,0.06763148,-1.0601891,-1.0877571,1.1489646,-0.90916604,0.9641142,0.3405947,-1.7717904,-1.9840251,8.994274,-3.1873744,-7.9534225,-1.3390247,1.3542099,0.20191666,1.4219276,6.2852044,-1.5988951,-2.9264746,2.2327204,0.50441116,-0.7581347,-0.2195407,-0.8483518,-0.43852863,-0.34104273,0.17648195,-0.6104979,-0.8072251,1.0493916,1.132495,1.3715961,-0.2684163,1.0392942,2.193501,2.7944047,-0.8528939,-2.2286634,-0.22908014,0.11571264,1.0188279,0.44004104,-0.8038201,-0.6792208,0.33658943,-0.84458864,-0.29420418,0.7329521,0.8870416,-1.4888911,-0.08702058,0.4608108,0.15081465,-1.2527351,0.831233,-0.38343954,-0.375546,-0.82318825,-0.46276954,0.85269564,8.965204,-36.451122
0.12808785,0.28653473,0.046377003,-1.0333055,-1.074276,1.1644862,-0.95845526,0.97023505,0.44680625,-1.7887734,-2.0214827,8.975829,-3.1509688,-7.9090924,-1.2407949,1.3880731,0.2665491,1.4072747,6.3630133,-1.5949974,-3.038774,2.3554034,0.48598477,-0.80326784,-0.25515747,-0.7192677,-0.33534393,-0.25781327,0.1962072,-0.5912368,-0.82222354,0.9911318,1.1019378,1.3020924,-0.26974913,1.2128167,2.1224895,2.7390175,-0.8383569,-2.1943505,-0.24754111,0.19102174,1.0501835,0.29021302,-0.90264714,-0.694235,0.327287,-0.89443684,-0.16462015,0.8334217,0.9706416,-1.6448648,-0.046141848,0.5049889,0.093607344,-1.0912161,0.81259936,-0.44408938,-0.28447875,-0.8453159,-0.45276916,0.7916443,8.976702,-36.45147
1.1105304,-0.647477,0.1838612,0.9248482,-0.63092136,2.7682705,-0.24980575,0.16601872,-1.7258861,-1.8899499,2.3507814,4.1998057,-3.662922,-0.7497643,1.7858366,-0.36924642,-1.6012102,8.095775,3.1418965,-3.3244085,2.5547483,-1.2029663,-0.5920938,-0.9487282,0.039305877,-1.8170947,-0.6557848,-0.5353847,0.41383815,1.2192208,-2.22153,1.6123405,0.28650033,-0.1459328,-0.64233655,-1.1911789,1.5582488,0.76576203,1.5378882,1.472147,2.1395671,0.19580339,-2.9675338,-0.846544,1.80422,0.23949832,-0.21560176,0.5819057,3.4164577,0.013588052,-0.48324376,-1.1314285,-0.7228781,-0.28833652,-0.20293745,-0.011759894,-1.8399973,-0.66205734,0.3720251,-1.252168,1.0257902,-0.80728334,1.6080132,28.752375
1.1007216,-0.6348419,0.1653868,0.9183978,-0.60205364,2.7534688,-0.26054317,0.15936875,-1.7355514,-1.845639,2.483701,4.2331715,-3.7742546,-0.92614424,1.8131799,-0.4430916,-1.5405005,8.063359,3.185114,-3.1833022,2.7020035,-1.457702,-0.54169995,-0.92648506,0.12596042,-1.6642201,-0.63713354,-0.6439073,0.40539318,1.1589106,-2.2630234,1.6905109,0.36972362,-0.094237864,-0.7113053,-1.192176,1.9135537,0.64000964,1.465079,1.5486039,2.0583599,0.14307089,-2.9265263,-0.6902709,1.7674767,0.21105327,-0.12161736,0.5122686,3.46072,0.13399109,-0.6818742,-1.0642102,-0.85878783,-0.5023529,-0.16433138,-0.027714828,-1.6082608,-0.5714159,0.4600916,-1.1264266,1.3065183,-0.77527815,1.6094695,28.74965
