,n_counts,_scvi_batch,_scvi_labels,_scvi_local_l_mean,_scvi_local_l_var,cell_type,subtissue,sex
SRR6531644,151059.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531645,275276.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531646,261339.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531650,150910.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531651,143543.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531652,28812.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531653,27501.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531654,78236.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531655,71486.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531656,194536.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531657,186511.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531662,10509.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531663,9939.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531666,139035.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531667,132638.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531668,344089.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531669,315280.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531670,271573.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531672,255667.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531673,10737.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531674,9918.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531675,201326.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531676,190030.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531677,191524.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531678,180387.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531679,337907.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531680,321902.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531681,201819.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531683,193374.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531684,140573.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531685,133384.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531686,263914.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531687,260687.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531688,70728.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531689,65492.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531690,79338.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531691,68210.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531693,1100737.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Hippocampus,F
SRR6531697,33886.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531698,32866.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531701,220309.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531702,210432.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531703,195361.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531704,1121879.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Hippocampus,F
SRR6531705,180411.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
