mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
Nsf,260225.0,True,2302.0,43.219564856336156,44702.61008891361,2.137157762297826
Hsdl1,169258.0,True,6075.0,28.11127719647899,20405.23146914923,1.701143522725738
Loxl2,1261.0,True,7987.0,0.20943364889553232,25.683206672548625,1.501712758034268
Rasl10a,12695.0,True,7775.0,2.1084537452250456,740.1060099176691,1.5237969232465851
Ankmy1,269.0,True,3653.0,0.04467696395947517,5.9649471589194185,2.0017529383487727
Sept14,22.0,True,4543.0,0.0036538780933399765,0.03686372336909411,1.8991289370395124
Slc38a8,148.0,True,3235.0,0.0245806344461053,1.7020534993524878,2.008606656188771
Gm884,58.0,True,3394.0,0.009632951336987211,0.2607045330269859,2.00419250270457
Flvcr2,67877.0,True,2268.0,11.273376515528982,8528.537212999243,2.1455781056272074
Batf,4669.0,True,7437.0,0.7754525826274705,188.70206177603197,1.554611310794295
Thoc5,79132.0,True,6941.0,13.142667331008138,7658.680473216389,1.6034037537426993
Igsf9b,12588.0,True,1111.0,2.090682610861983,2270.4894497166897,2.518117029917027
Ccdc15,13151.0,True,4615.0,2.1841886729779105,961.170553947121,1.8898833378576418
Sdr42e1,38784.0,True,5132.0,6.441454907822621,3675.6798360224266,1.8175031678372906
Kif4,6324.0,True,5732.0,1.0503238664673642,327.99829765256817,1.7437822592950936
Tmem132c,6154.0,True,521.0,1.022089353927919,569.3515053348717,2.9074290293177927
Kctd9,41070.0,True,2252.0,6.821126058794221,68752.97298218694,2.149115383789175
Brip1,1181.0,True,863.0,0.19614681946520512,41.03942701099861,2.6518800951162693
Plcg2,12278.0,True,414.0,2.039196146819465,1504.6051079251415,3.046476681838616
Fam151b,1267.0,True,2431.0,0.21043016110280685,36.329632057455605,2.1088640853203424
Smc4,85200.0,True,7637.0,14.150473343298456,8016.341805839033,1.536201979039181
Ramp1,495417.0,True,4192.0,82.28151469855506,102294.95744727342,1.9552099027408951
Cpne2,116225.0,True,7049.0,19.303271881747218,12063.85419028969,1.5928941564229044
Csta1,91.0,True,7680.0,0.015113768476997176,0.3833263533336534,1.5323399328046994
Wdr5b,29973.0,True,7341.0,4.97807673143996,2297.7908814167026,1.5640842553484005
Ssu2,10292.0,True,173.0,1.7093506062115928,2374.917502252636,3.62871642261482
Fbxo15,270.0,True,4232.0,0.04484304932735426,2.96277282004678,1.949117351212144
Lif,1484.0,True,5049.0,0.24647068593256935,40.11665074785317,1.8282336344715366
Tbc1d10a,88038.0,True,7424.0,14.621823617339313,8440.727556873204,1.555660866625495
Neurl1b,17309.0,True,752.0,2.8747716326191664,1975.5019232244179,2.7169803456829467
Parp14,24965.0,True,7545.0,4.146321209101478,1802.514633058934,1.5463284747048878
Myo15b,1060.0,True,5729.0,0.17605048995183525,22.893585794128082,1.744182025300126
Gbp8,1022.0,True,1561.0,0.16973924597242984,54.88347616123193,2.3415837929819014
