GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Zfp617_1	11367	1114	3.797e-01	-5.766e-01	6.545e+00	7.951e-02	-1.769e+00	1.000e+00	1.000e+00
Zfp638_8	1406	572	4.046e-01	-8.861e-01	2.946e+00	-2.728e-01	2.031e-01	5.239e-01	6.814e-01
Zfp687_2	64987	1025	5.062e-01	-5.627e+00	4.197e+00	2.616e-01	3.257e-01	4.196e-01	5.716e-01
Zfp68_1	8204	2381	5.954e-01	-1.539e+00	5.530e+00	7.106e-01	-1.451e+00	1.000e+00	1.000e+00
Zfp68_3	7758	1935	5.954e-01	-1.855e+00	5.033e+00	5.745e-01	1.844e+00	5.479e-02	1.220e-01
Zfp711_3	3548	974	4.025e-01	-7.503e+00	4.626e+00	9.229e-02	-3.662e-03	1.000e+00	1.000e+00
Zfp811_1	57182	1460	5.975e-01	2.688e+00	5.258e+00	-4.824e+00	1.544e+01	2.755e-08	4.468e-07
Zfp821_3	7632	3196	6.349e-01	3.002e+00	4.438e+00	-3.206e+00	1.186e+01	1.115e-06	1.412e-05
Zfp846_1	46766	4515	7.946e-01	4.648e+00	4.797e+00	7.722e-01	-1.604e+00	1.000e+00	1.000e+00
Zfp846_nmdSE_1	10979	2748	5.602e-01	-4.084e+00	2.339e+00	-7.371e-01	1.466e+00	8.681e-02	1.716e-01
Zfp868_1	58304	3433	6.411e-01	5.640e+00	4.046e+00	4.447e-01	4.365e-01	3.501e-01	4.891e-01
Zfp869_1	23149	1244	5.954e-01	3.534e+00	3.818e+00	1.078e+00	2.241e-01	5.032e-01	6.584e-01
Zfr2_1	4292	1227	4.523e-01	2.671e+00	2.528e+00	7.000e-01	1.672e-01	5.630e-01	7.233e-01
Zfr_2	30109	9575	8.672e-01	5.670e+00	3.302e+00	-2.359e-01	-2.070e+00	1.000e+00	1.000e+00
Zfyve27_4	6134	881	5.415e-01	3.416e+00	1.965e+00	3.771e-01	-6.450e-01	1.000e+00	1.000e+00
Zgpat_2	28139	13899	7.863e-01	6.292e+00	2.976e+00	-2.632e-01	7.598e-01	2.177e-01	3.359e-01
Zhx1_2	138323	5105	7.967e-01	-4.794e+00	5.148e+00	4.636e-01	-2.012e-01	1.000e+00	1.000e+00
Zik1_1	10056	2332	5.498e-01	5.300e+00	3.390e+00	2.679e+00	4.672e+00	2.236e-03	9.553e-03
Zmiz1_1	54812	3107	7.884e-01	2.650e+00	4.875e+00	-1.879e+00	3.245e+00	1.085e-02	3.325e-02
