mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
Wls,87625.0,True,353.0,62.166666666666664,21168.898954703833,2.0781295154920003,6
Rpf1,63624.0,True,1836.5,37.03819444444444,3261.8835535230355,0.9780709509601939,2
Spata1,6734.0,True,1982.5,3.0625,282.5117595818815,1.1533615064722995,2
Bcl10,54346.0,True,890.0,28.8125,3038.02743902439,1.1417403346054242,2
Ddah1,707211.0,True,453.0,417.625,389226.38153310097,2.114624044939503,6
Col24a1,4275.0,True,747.0,4.65625,1336.9789851916375,1.1053296294875927,3
Cryz,21351.0,True,1471.0,28.56597222222222,4024.6576534068913,1.4331972000782967,5
Asph,210714.0,True,2196.5,268.5208333333333,71798.87761324042,1.0524901108918998,2
Trp53inp1,76052.0,True,986.5,20.208333333333332,3596.6811846689893,1.7994540169892623,6
Gem,8424.0,True,78.0,28.052083333333332,13579.499020034844,1.1037800776874935,1
Calb1,660739.0,True,120.5,1117.861111111111,3588661.3708865657,3.1606262531160687,6
Mmp16,429424.0,True,837.5,171.98958333333334,58846.707208188156,1.7782796209199425,6
Tmem68,102640.0,True,2419.0,88.15277777777777,22960.73615950445,1.2534562357826686,4
Tgs1,81617.0,True,2510.0,54.69444444444444,7033.369725125822,1.0248901069143057,2
Nsmaf,137829.0,True,1694.0,86.0625,17779.96820557491,1.3537531299562318,4
Ccnc,112729.0,True,2038.0,126.17361111111111,21165.78856949284,0.8905006961693954,1
Lmo4,276710.0,True,1259.5,194.91319444444446,50855.77989498644,1.8725343809933517,6
Pdlim5,17232.0,True,2555.5,20.961805555555557,3089.402717286101,1.2809003478472203,4
Ube2j1,194625.0,True,2464.0,225.21875,55724.95198170732,1.1143052182902504,2
Rragd,124175.0,True,1455.5,102.07291666666667,21256.855291811844,1.6367191796127647,6
Casp8ap2,37323.0,True,2084.5,21.725694444444443,2730.527281746032,1.3085995619822042,4
Map3k7,49628.0,True,1107.0,32.00694444444444,4914.689847077042,1.237602357875422,2
Epha7,62190.0,True,486.5,38.30555555555556,7561.446380178088,1.9385125283407898,6
Aldob,3039.0,True,2396.0,6.697916666666667,779.3335148083625,0.8518691846918053,1
Smc2,25936.0,True,1320.0,12.184027777777779,1183.8858764034067,0.892191656734609,1
