,n_counts,Age,batch,_scvi_batch,_scvi_labels,_scvi_local_l_mean,_scvi_local_l_var
SRR7408400,492781.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408401,804769.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408404,1562686.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408413,707476.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408414,1402388.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408418,247591.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408422,1864863.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408424,745396.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408426,669170.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408427,1001888.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408433,498988.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408437,643231.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408438,849453.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408444,817225.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408446,1219047.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408448,946542.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408449,654765.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408454,646653.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408458,865913.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408460,1317636.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408461,1305690.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408462,891318.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408470,1017495.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408472,1372974.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408473,1050368.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408474,1001065.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408475,1033846.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408482,676446.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408483,399115.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408485,1992789.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408486,846613.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408487,716850.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408493,550199.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408494,810046.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408498,446316.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408517,568273.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408518,631329.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408519,863884.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408520,1157351.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408521,1604992.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408522,858557.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408523,1441759.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408524,939359.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408525,1405790.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408526,1291381.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408527,727677.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408528,632056.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408529,1141653.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408530,1401122.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408531,2276250.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408532,2423430.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408533,1814629.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408534,1039930.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408535,968905.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408536,901115.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408537,846160.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408538,1199176.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408539,1073450.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408540,1590825.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
SRR7408541,2219879.0,embryonic day 13.5,0,0,0,12.958784103393555,0.21840500831604004
