cellID	neuro
SRR2727045	0
SRR2727046	0
SRR2727047	0
SRR2727048	0
SRR2727049	0
SRR2727050	0
SRR2727051	0
SRR2727052	0
SRR2727053	0
SRR2727054	0
SRR2727055	0
SRR2727056	0
SRR2727057	0
SRR2727058	0
SRR2727059	0
SRR2727060	0
SRR2727061	0
SRR2727062	0
SRR2727063	0
SRR2727064	0
SRR2727065	0
SRR2727066	0
SRR2727067	0
SRR2727068	0
SRR2727069	0
SRR2727070	0
SRR2727071	0
SRR2727072	0
SRR2727073	0
SRR2727074	0
SRR2727075	0
SRR2727076	0
SRR2727077	0
SRR2727078	0
SRR2727079	0
SRR2727080	0
SRR2727081	0
SRR2727082	0
SRR2727083	0
SRR2727084	0
SRR2727085	0
SRR2727086	0
SRR2727087	0
SRR2727088	0
SRR2727089	0
SRR2727090	0
SRR2727091	0
SRR2727092	0
SRR2727093	0
SRR2727094	0
SRR2727095	0
SRR2727096	0
SRR2727097	0
SRR2727098	0
SRR2727099	0
SRR2727100	0
SRR2727101	0
SRR2727102	0
SRR2727103	0
SRR2727104	0
SRR2727105	0
SRR2727106	0
SRR2727107	0
SRR2727108	0
SRR2727109	0
SRR2727110	0
SRR2727111	0
SRR2727112	0
SRR2727113	0
SRR2727114	0
SRR2727115	0
SRR2727116	0
SRR2727117	0
SRR2727118	0
SRR2727119	0
SRR2727120	0
SRR2727121	0
SRR2727122	0
SRR2727123	0
SRR2727124	0
SRR2727125	0
SRR2727126	0
SRR2727127	0
SRR2727128	0
SRR2727129	0
SRR2727130	0
SRR2727131	0
SRR2727132	0
SRR2727133	0
SRR2727134	0
SRR2727135	0
SRR2727136	0
SRR2727137	0
SRR2727138	0
SRR2727139	0
SRR2727140	0
SRR2727141	0
SRR2727142	0
SRR2727143	0
SRR2727144	0
SRR2727145	0
SRR2727146	0
SRR2727147	0
SRR2727148	0
SRR2727149	0
SRR2727150	0
SRR2727151	0
SRR2727152	0
SRR2727153	0
SRR2727154	0
SRR2727155	0
SRR2727156	1
SRR2727157	1
SRR2727158	1
SRR2727159	1
SRR2727160	1
SRR2727161	1
SRR2727162	1
SRR2727163	1
SRR2727164	1
SRR2727165	1
SRR2727166	1
SRR2727167	1
SRR2727168	1
SRR2727169	1
SRR2727170	1
SRR2727171	1
SRR2727172	1
SRR2727173	1
SRR2727174	1
SRR2727175	1
SRR2727176	1
SRR2727177	1
SRR2727178	1
SRR2727179	1
SRR2727180	1
SRR2727181	1
SRR2727182	1
SRR2727183	1
SRR2727184	1
SRR2727185	1
SRR2727186	1
SRR2727187	1
SRR2727188	1
SRR2727189	1
SRR2727190	1
SRR2727191	1
SRR2727192	1
SRR2727193	1
SRR2727194	1
SRR2727195	1
SRR2727196	1
SRR2727197	1
SRR2727198	1
SRR2727199	1
SRR2727200	1
SRR2727201	1
SRR2727202	1
SRR2727203	1
SRR2727204	1
SRR2727205	1
SRR2727206	1
SRR2727207	1
SRR2727208	1
SRR2727209	1
SRR2727210	1
SRR2727211	1
SRR2727212	1
SRR2727213	1
SRR2727214	1
SRR2727215	1
SRR2727216	1
SRR2727217	1
SRR2727218	1
SRR2727219	1
SRR2727220	1
SRR2727221	1
SRR2727222	1
SRR2727223	1
SRR2727224	1
SRR2727225	1
SRR2727226	1
SRR2727227	1
SRR2727228	1
SRR2727229	1
SRR2727230	1
SRR2727231	1
SRR2727232	1
SRR2727233	1
SRR2727234	1
SRR2727235	1
SRR2727236	1
SRR2727237	1
SRR2727238	1
SRR2727239	1
SRR2727240	1
SRR2727241	1
SRR2727242	1
SRR2727243	1
SRR2727244	1
SRR2727245	1
SRR2727246	1
SRR2727247	1
SRR2727248	1
SRR2727249	1
SRR2727250	1
SRR2727251	1
SRR2727252	1
SRR2727253	1
SRR2727254	1
SRR2727255	1
SRR2727256	1
SRR2727257	1
SRR2727258	1
SRR2727259	1
SRR2727260	1
SRR2727261	1
SRR2727262	1
SRR2727263	1
SRR2727264	1
SRR2727265	1
SRR2727266	1
SRR2727267	1
SRR2727268	1
SRR2727269	1
SRR2727270	1
SRR2727271	1
SRR2727272	1
SRR2727273	1
SRR2727274	1
SRR2727275	1
