GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Myef2_13	19685	3741	9.488e-01	2.231e-01	1.005e+00	2.377e-03	2.703e+00	2.006e-02	5.589e-02
Mylpf_1	16677	741	6.537e-01	5.628e-01	1.223e+00	-1.902e-02	9.555e+00	1.234e-05	9.513e-05
Mylpf_2	16465	823	6.578e-01	-4.767e+00	2.635e+00	3.647e-02	2.257e+01	1.837e-11	3.693e-10
Mynn_1	4677	1233	7.684e-01	1.675e+00	1.832e+00	-4.325e-03	6.636e-01	2.493e-01	3.931e-01
Myo18a_8	1566	263	4.262e-01	6.178e+00	2.269e+00	-3.625e-02	1.540e+01	2.850e-08	3.519e-07
Myo18a_9	12802	436	6.393e-01	-6.570e+00	3.467e+00	-1.369e-02	3.117e+00	1.253e-02	3.928e-02
Myo19_2	1520	594	4.877e-01	3.560e+00	2.428e+00	-7.378e-03	1.214e+00	1.192e-01	2.305e-01
Myo19_4	1698	583	4.857e-01	5.194e+00	1.992e+00	-1.531e-02	2.979e+00	1.465e-02	4.415e-02
Myo1b_8	4586	1589	7.643e-01	1.884e+00	2.741e+00	-1.135e-02	3.649e+00	6.906e-03	2.416e-02
Myo5a_3	731	82	2.746e-01	-3.113e+00	4.020e-01	1.459e-02	5.253e+00	1.190e-03	5.211e-03
Myo5a_5	750	223	3.053e-01	5.109e+00	3.026e+00	-3.300e-02	7.890e+00	7.114e-05	4.529e-04
Myo5a_6	638	105	2.828e-01	-1.497e+00	3.047e+00	-1.869e-02	1.920e+00	5.002e-02	1.165e-01
Myo6_5	834	140	2.213e-01	-5.283e+00	2.900e+00	1.492e-02	1.480e+00	8.537e-02	1.771e-01
Myo6_8	1277	109	2.439e-01	-3.218e+00	5.146e-01	-1.090e-02	-8.330e-01	1.000e+00	1.000e+00
Myo9a_2	1227	550	3.955e-01	4.206e+00	2.871e+00	-3.298e-02	1.451e+01	7.134e-08	8.503e-07
Myo9a_6	301	80	1.844e-01	8.464e-02	3.100e+00	7.642e-03	5.207e-01	3.075e-01	4.581e-01
Myo9b_9	1902	499	5.656e-01	4.404e+00	1.852e+00	-4.831e-03	4.014e-01	3.703e-01	5.206e-01
