GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Eefsec_5	21595	3043	3.388e-01	7.867e+00	4.496e+00	-1.830e+00	1.275e+00	1.102e-01	3.579e-01
Efna3_1	8472	922	2.397e-01	5.665e+00	4.023e+00	1.561e+00	2.056e-01	5.214e-01	7.810e-01
Egln2_1	22798	12032	8.430e-01	5.569e+00	3.477e+00	2.093e+00	4.277e+00	3.446e-03	7.222e-02
Ehmt1_15	11932	4432	5.510e-01	3.422e+00	5.114e+00	4.385e+00	6.788e+00	2.292e-04	1.385e-02
Ehmt2_7	8801	3818	5.592e-01	5.090e+00	3.375e+00	7.571e-01	6.826e-01	2.426e-01	5.086e-01
Eif1ad_1	23259	11262	6.722e-01	6.905e+00	3.802e+00	1.647e+00	1.525e+00	8.070e-02	3.208e-01
Eif2a_1	4750	2733	3.058e-01	5.654e+00	3.815e+00	2.983e+00	2.833e+00	1.730e-02	1.687e-01
Eif2b3_1	11275	4049	3.912e-01	6.889e+00	3.859e+00	8.436e-01	-3.652e-01	1.000e+00	1.000e+00
Eif2d_2	4189	1678	3.416e-01	5.547e+00	4.907e+00	-2.310e+00	1.300e+00	1.069e-01	3.548e-01
Eif2d_3	5251	2740	3.554e-01	6.252e+00	5.161e+00	-2.727e+00	2.083e+00	4.125e-02	2.591e-01
Eif2d_5	5587	2259	3.471e-01	6.795e+00	4.590e+00	-1.893e+00	1.976e+00	4.684e-02	2.654e-01
Eif2d_9	6677	3337	3.554e-01	6.529e+00	5.263e+00	-2.188e+00	8.735e-01	1.862e-01	4.385e-01
Eif4a2_6	118967	47931	1.000e+00	3.400e+00	2.648e+00	1.435e+00	7.836e+00	7.534e-05	6.898e-03
Eif4e2_1	43098	1112	6.997e-01	-6.430e+00	5.804e+00	1.411e+00	6.382e-01	2.586e-01	5.232e-01
Eif4e2_2	6065	2136	5.785e-01	-1.639e+00	5.797e+00	2.034e+00	1.024e+00	1.523e-01	4.053e-01
Eif4g1_5	1650	545	6.391e-01	2.441e+00	2.671e+00	-9.275e-02	7.898e-02	6.910e-01	9.450e-01
Eif4g1_8	1408	355	6.006e-01	2.023e+00	2.453e+00	1.035e+00	3.590e-01	3.968e-01	6.636e-01
Eif4g1_12	974	469	5.840e-01	3.085e+00	2.291e+00	2.951e-01	2.101e-01	5.169e-01	7.801e-01
Eif4g3_2	45803	14459	8.815e-01	7.659e+00	3.941e+00	-1.021e+00	-3.711e-01	1.000e+00	1.000e+00
Eif4g3_10	11337	1586	7.603e-01	-2.378e+00	2.982e+00	4.106e-02	2.749e-01	4.584e-01	7.282e-01
Eif4g3_11	19613	8854	7.879e-01	2.861e+00	3.818e+00	-6.271e-01	1.094e-01	6.400e-01	8.926e-01
Eif4g3_12	41374	10030	8.760e-01	7.162e+00	3.974e+00	-1.162e+00	1.133e-01	6.341e-01	8.896e-01
Eif4g3_13	30798	2296	8.264e-01	-1.707e+00	3.181e+00	4.181e-01	1.455e+00	8.802e-02	3.287e-01
Eif4g3_15	23144	1306	8.072e-01	-6.550e-01	2.640e+00	1.298e-01	-9.307e-01	1.000e+00	1.000e+00
Eif4g3_16	30378	1876	8.264e-01	-2.432e+00	1.551e+00	6.291e-02	-4.707e-01	1.000e+00	1.000e+00
Eif4g3_20	30691	2189	8.264e-01	-7.410e+00	3.949e+00	1.087e+00	2.764e-01	4.572e-01	7.275e-01
Eif4h_1	21846	5784	9.614e-01	1.299e+00	2.722e+00	-1.644e-01	-1.357e-01	1.000e+00	1.000e+00
Eif5a_4	79618	2116	9.917e-01	-7.082e+00	4.067e+00	2.260e+00	8.361e+00	4.326e-05	4.968e-03
Eif5a_5	79587	2406	9.917e-01	-6.335e+00	3.497e+00	1.520e+00	2.869e+00	1.660e-02	1.670e-01
Eif5a_8	91721	11658	9.945e-01	-6.398e+00	3.241e+00	1.494e+00	5.746e+00	6.989e-04	3.107e-02
Eif5a_9	79014	1512	9.917e-01	-6.851e+00	3.673e+00	2.143e+00	7.779e+00	7.999e-05	6.898e-03
