	C_score	pval
AF529169_nmdSE_1	0.13879758124128694	0.0024987506246876563
AI413582_1	0.19906085546844476	0.0004997501249375312
AI597479_1	0.11463185075871074	0.0004997501249375312
AU021092_1	0.33082061450469846	0.0004997501249375312
AU022252_1	0.0003252769922202914	0.991504247876062
AU022252_2	0.16062588245266085	0.0004997501249375312
AU022754_1	0.6067038364508777	0.0004997501249375312
AU040320_4	0.5179661718278579	0.0004997501249375312
AW554918_1	0.016302695784657595	0.8255872063968016
AW554918_3	0.2696816895631483	0.0074962518740629685
AW554918_4	0.060183254630089	0.463768115942029
AW554918_5	0.16315240782533647	0.06946526736631684
AW554918_6	0.3018707316547923	0.00399800099950025
Aacs_1	0.10694456252508222	0.0009995002498750624
Aacs_2	0.14550424487816316	0.0004997501249375312
Aagab_1	0.02845405548449087	0.3523238380809595
Aagab_2	0.4454815093499066	0.0004997501249375312
Aak1_1	0.4297604336579389	0.0004997501249375312
Aak1_2	0.18554606832631892	0.008995502248875561
Aak1_4	0.26792435236081835	0.0004997501249375312
Aak1_6	0.17864053370105393	0.010994502748625687
Aak1_7	0.18437524730863786	0.009995002498750625
Aak1_9	0.428648785597349	0.0004997501249375312
Aamdc_10	0.1435363115450462	0.0004997501249375312
Aamdc_nmdSE_2	0.2923409193741545	0.0004997501249375312
Aar2_3	0.059864121044924	0.08845577211394302
Aar2_4	0.007179039350100669	0.809095452273863
Aarsd1_2	0.009695949588492625	0.7146426786606697
Aarsd1_3	0.013138454401967703	0.6106946526736632
Aasdh_nmdSE_1	0.009917954090197023	0.862568715642179
Aasdhppt_1	0.2643864064100734	0.0004997501249375312
Aasdhppt_2	0.21940725279387407	0.0004997501249375312
Aasdhppt_3	0.26198074967384855	0.0004997501249375312
Aasdhppt_4	0.32543478576909113	0.0004997501249375312
Aatf_1	0.0004565809455058245	0.9910044977511244
Aatf_2	0.025076833642967644	0.5422288855572214
Aatk_1	0.04625769169811822	0.26036981509245377
Abat_2	0.2830247793495889	0.0004997501249375312
Abat_3	0.483439113469066	0.0004997501249375312
Abca3_4	0.010110768836647632	0.5662168915542228
Abca3_5	0.08946620616958179	0.0009995002498750624
Abca7_2	0.6468168482399629	0.0004997501249375312
Abca8b_2	0.29498038571672136	0.0004997501249375312
Abcb6_1	0.14300745696378248	0.0004997501249375312
Abcb8_1	0.0030191854577771293	0.8380809595202399
Abcc10_1	0.11445994364829393	0.07646176911544228
Abcc5_2	0.005584718206109174	0.8160919540229885
Abcc5_3	0.08836190244371822	0.005997001499250375
Abcc8_4	0.37128847429592904	0.0004997501249375312
Abce1_2	0.20824759685222582	0.0004997501249375312
Abcf3_1	0.14425300082551618	0.0004997501249375312
Abcg4_1	0.08892662371417193	0.0004997501249375312
Abhd10_1	0.0031340150181264903	0.9215392303848076
Abhd10_2	0.11253426056687243	0.0004997501249375312
Abhd10_3	0.12137031537026721	0.001999000499750125
Abhd11_2	0.019769100010988416	0.5097451274362819
Abhd12_2	0.21861460967594692	0.0004997501249375312
Abhd12_nmdSE_1	0.15643146977093403	0.0004997501249375312
Abhd13_1	0.16048142943069543	0.004497751124437781
Abhd14a_1	0.019550402117840315	0.11444277861069466
Abhd14a_3	0.024635569149364267	0.05847076461769116
Abhd17a_1	0.19364482033856334	0.0004997501249375312
Abhd18_nmdSE_1	0.14079793987596223	0.033483258370814596
Abhd1_2	0.061376904066322235	0.16691654172913542
Abhd2_1	0.5203884589455275	0.0004997501249375312
Abhd5_1	0.08414015201602254	0.031484257871064465
Abhd6_1	0.0029025616149482847	0.9330334832583708
Abhd8_1	0.0010674189856968441	0.9430284857571214
Abi1_1	0.20714516200737554	0.0004997501249375312
Abi1_2	0.18187151474990648	0.0004997501249375312
Abi1_4	0.17843683814753586	0.0004997501249375312
Abi1_6	0.1852879484221881	0.0004997501249375312
Abi1_8	0.011548026392460886	0.25087456271864067
Abi1_9	0.3441144961375504	0.0004997501249375312
Abi2_2	0.3858332083540197	0.0004997501249375312
Abi2_3	0.10479918930670962	0.0004997501249375312
Abi2_4	0.15758212367539437	0.0004997501249375312
Abi2_5	0.08156015004653672	0.010494752623688156
Abi2_7	0.0031953631027062945	0.7631184407796102
Abl1_nmdSE_2	0.1018337164939489	0.035982008995502246
Ablim1_3	0.23400184517251177	0.0004997501249375312
Ablim1_6	0.10056188022594326	0.079960019990005
Ablim1_7	0.07136344539066486	0.062468765617191405
Ablim2_10	0.36512456525492676	0.0004997501249375312
Ablim2_11	0.5386915197590294	0.0004997501249375312
Ablim2_2	0.559902899303363	0.0004997501249375312
Ablim2_4	0.5030272067616554	0.0004997501249375312
Ablim2_6	0.43450857081314154	0.0004997501249375312
Ablim3_1	0.2976435003807102	0.0004997501249375312
Ablim3_4	0.13685467312923372	0.0004997501249375312
Ablim3_5	0.4130699448735412	0.0004997501249375312
Ablim3_6	0.13336369036946283	0.0004997501249375312
Ablim3_7	0.4627543100446434	0.0004997501249375312
Ablim3_8	0.2869069343452404	0.0004997501249375312
Abt1_1	0.1718659103722573	0.0009995002498750624
Abtb1_1	0.02045115491562699	0.23438280859570215
Acaa1a_6	0.15943232390013617	0.0004997501249375312
Acaca_3	0.07118035170767234	0.043478260869565216
Acad10_2	0.01283930948372447	0.68015992003998
Acad10_3	0.6423326854938783	0.0004997501249375312
Acad8_1	0.07815162712450707	0.04547726136931534
Acad8_3	0.09991633740116657	0.01249375312343828
Acad9_1	0.06384772692731189	0.06796601699150424
Acadm_2	0.019015549137262222	0.5697151424287856
Acan_1	0.0	1.0
Acap3_2	0.03519006218733822	0.296351824087956
Acap3_4	0.010986008061614982	0.7781109445277361
Acat1_1	0.08281586199342106	0.0004997501249375312
Acbd4_1	0.006335158866241808	0.8175912043978011
Acbd4_3	0.12666251622734637	0.0029985007496251873
Acbd5_2	0.043237325634998824	0.0009995002498750624
Acbd5_5	0.038721448368333355	0.2543728135932034
Acbd6_2	0.5120804440674424	0.0004997501249375312
Accs_1	0.1493105977502499	0.08895552223888056
Accs_2	0.11944272856703197	0.019490254872563718
Accs_3	0.046991505851052606	0.42278860569715143
Acd_2	0.03163922677668152	0.10644677661169415
