waldStat	df	pvalue	meanLogFC
1	53.1530217783643	4	7.91602339234032e-11	0.194871054719436
2	767.046469278097	4	0	0.945919937661566
3	2.02973775116437	4	0.730289128763808	0.0533690378668239
4	333.824209568496	4	0	0.33854344508618
5	92.144486295872	4	0	0.233966551923708
6	0.773499644528179	4	0.941965084406942	0.0836417515918385
7	38.4111507285436	4	9.21713225743304e-08	0.113163789145804
8	56.21255392518	4	1.80960801898777e-11	0.434785871900111
9	149.50259662626	4	0	0.230322399013623
10	68.3890755859255	4	4.96269692007445e-14	0.18396502292384
11	140.821904181465	4	0	0.262393396734111
12	23.0303038786465	4	0.000124873182714813	0.163489073196922
13	17.232898693456	4	0.00174155960768951	0.323827970439226
14	75.7212776252366	4	1.4432899320127e-15	0.335369753661945
15	74.7093164940943	4	2.33146835171283e-15	0.192751113612554
16	47.5713199155489	4	1.15936349409651e-09	0.650605793492321
17	96.2877716978136	4	0	0.207978895273822
18	24.5928608446213	4	6.07383774097192e-05	0.24346551329969
19	33.5311380991827	4	9.29790273551667e-07	0.146762853134657
20	0.0484298146194404	4	0.999711509328967	0.00427200473638717
21	45.4112723259923	4	3.2652701653646e-09	0.197405194478799
22	38.0672559928483	4	1.08532547171691e-07	0.402576301093394
23	4.45666717683673	4	0.347716599161415	0.0290621234676854
24	3.35979241911405	4	0.499514754115282	0.0480589219520362
25	3.05743705611719	4	0.548259883609134	0.213525176350954
26	18.4028447359197	4	0.00102928055658247	0.0547682983040598
27	30.9603470046419	4	3.11894594973161e-06	0.285359287497071
28	33.3885161958834	4	9.94507783347309e-07	0.253647838828045
29	137.425103878113	4	0	0.267870075384006
30	0.488845363867048	4	0.974577759608036	0.014272887242943
31	268.775420020793	4	0	0.446126425862697
32	142.606449983197	4	0	0.258259446458973
33	2040.23420915571	4	0	0.390438509039417
34	14.8352805950972	4	0.00505533701919114	0.193343317813619
35	59.0913456940312	4	4.50217640945993e-12	0.187631435962011
36	4.40243946333128	4	0.354272875394891	0.126349646956489
37	24.1360843244299	4	7.50112510176093e-05	0.182604738113336
38	197.951187199377	4	0	0.547384261890889
39	24.6208654916097	4	5.99568991670463e-05	0.202234534081422
40	47.5458911470123	4	1.17359588713839e-09	0.118322329334683
41	460.548360151104	4	0	0.325146245673215
42	264.036664633054	4	0	0.329936615212068
43	43.6542738764761	4	7.56913609567533e-09	0.147367661770862
44	79.5406838141922	4	2.22044604925031e-16	0.327641044634462
45	45.2670639357209	4	3.49873130467415e-09	0.163258116413587
46	9.86038475412384	4	0.0428463112316638	0.261546155888259
47	382.173743915785	4	0	0.381408718398517
48	7.08159073324354	4	0.131638838397996	0.0886080084934226
49	53.5193900327367	4	6.63478161300191e-11	0.503873293652986
50	18.8456293643828	4	0.000842769083917561	0.103591473291035
51	7.29414086913906	4	0.121136965462321	0.085831245704133
52	5.95477131850662	4	0.202551536146811	0.117130489030029
53	4905.99910079814	4	0	0.452959694424995
