	scvi_1	scvi_2	scvi_3	scvi_4	scvi_5	scvi_6	scvi_7	scvi_8	scvi_9	scvi_10
SRR6531613	-0.7974377	-1.2144247	-0.6950662	-1.3871716	-0.3945628	-0.3518387	-0.33607578	-0.18030924	-0.93018806	-0.38558245
SRR6531614	-0.2784058	1.5700735	1.0739958	0.75429773	1.3002222	0.9829405	-0.27805406	0.13030714	-1.5348952	-0.5602453
SRR6531616	-0.26068407	1.6092836	1.0898814	0.7781501	1.3431982	1.0115132	-0.30443996	0.07100779	-1.4948289	-0.65719295
SRR6531617	-1.2023783	0.20000458	0.65985495	0.48542655	-0.30197787	0.48887235	-0.5083563	-0.08209449	-1.9689786	-1.3041989
SRR6531618	-1.1870227	0.23266178	0.6747721	0.44597757	-0.36587042	0.48872513	-0.48866343	-0.056654036	-1.9522967	-1.3129407
SRR6531619	0.9886542	1.097908	-0.7535567	1.0503062	-1.2998736	-0.4306888	1.4501178	-0.5992084	0.23424715	-0.3876593
SRR6531620	1.0817882	1.0846227	-0.70688915	1.0294772	-1.265645	-0.33255023	1.4353876	-0.54538506	0.16983646	-0.4589774
SRR6531623	0.16844547	1.9022514	0.92810404	0.97445524	0.7460319	0.9645596	-1.4231455	1.0245692	-0.9900812	-1.256276
SRR6531624	0.1616844	1.9140509	0.92115974	0.99825287	0.7470459	0.95627946	-1.392045	1.018317	-0.96519065	-1.301407
SRR6531625	-0.10899025	0.27084792	2.0387812	0.7503402	0.72279036	0.84472877	0.65472996	1.3538747	-0.5141287	0.10609964
SRR6531627	-0.09755623	0.28184372	2.040862	0.7369554	0.7118664	0.79521745	0.61691177	1.3420409	-0.50341105	0.15885645
SRR6531628	0.5042413	0.24727881	-0.5413537	-0.84793013	0.44350326	-0.7525554	0.108363226	1.3350947	-0.22124928	-1.3420109
SRR6531629	0.51544917	0.18346506	-0.47247267	-0.8584369	0.4105035	-0.7608351	0.0750014	1.2759844	-0.20452148	-1.4398376
SRR6531630	0.8715116	-0.8094338	-0.39079905	-1.0222158	-0.5899082	1.6648514	-1.0449867	-0.06801814	0.18797654	-1.3586411
SRR6531631	0.90028197	-0.8270882	-0.4129982	-0.9779763	-0.60346913	1.6859353	-1.0605276	-0.13158125	0.2686835	-1.3735085
SRR6531632	1.9055111	-0.09064959	-0.10275793	-0.6227513	-0.7404442	0.76408345	-1.0852699	0.2680027	0.077423155	-0.72185135
SRR6531633	1.8997722	-0.07916495	-0.102475524	-0.6003722	-0.76565254	0.73521405	-1.1194134	0.29926503	0.060324967	-0.7260461
SRR6531636	-0.2713005	-0.9384527	1.0009465	-0.28120255	-1.0673902	0.1961723	0.2684414	1.2063268	0.41812426	0.19060145
SRR6531638	-0.23201913	-0.88231254	1.0087686	-0.31716907	-1.069868	0.21089226	0.27572423	1.1623756	0.42903036	0.2493573
SRR6531641	-0.7396396	0.80149823	0.11744183	0.19639885	0.25245404	-0.015617847	-0.5624961	-0.5403654	-1.6644592	1.9294759
SRR6531642	-0.68054944	0.77706677	0.09757936	0.23425949	0.16680622	0.019025385	-0.65534973	-0.59952945	-1.6575034	2.0123882
SRR6531643	0.97578055	-1.0607618	-0.39279807	-1.0387557	0.18965489	0.20491177	-0.4925925	-0.037914097	-0.6359055	-1.2350653
SRR6531644	0.9771127	-1.0309329	-0.4013803	-1.0241871	0.2270239	0.24045825	-0.5368362	-0.15923077	-0.6220191	-1.3093802
SRR6531645	0.0221318	-0.17227507	-0.7287235	-1.3969336	-1.1341735	-0.62663454	-0.48931533	0.1214146	0.9934135	-1.4796709
SRR6531646	0.06981662	-0.18561132	-0.77662814	-1.3720185	-1.1494693	-0.6711882	-0.57389045	0.12294263	1.0230832	-1.4554902
SRR6531650	-0.44106704	-1.3574351	1.2445482	-0.12886518	-1.0542397	-0.18771309	0.23603997	0.122526824	0.2128331	0.23979086
SRR6531651	-0.5151152	-1.3745862	1.2457466	-0.024250269	-1.0863504	-0.19026121	0.24147084	0.11262441	0.25073522	0.21558705
SRR6531652	0.9759073	1.2095698	1.0031545	0.6640357	0.2697317	0.7123422	-0.32786316	0.10905689	-1.6624441	-0.16923697
SRR6531653	0.99141246	1.132267	0.9811943	0.6832644	0.19556797	0.6783516	-0.3089866	0.06957096	-1.6108203	-0.31553113
SRR6531654	-0.85799056	1.0962149	0.16747808	0.41104543	-0.569334	-0.12327182	-0.19521546	-0.6206104	-1.5021335	0.2761522
SRR6531655	-0.8734152	1.0729183	0.1634413	0.4568864	-0.60436475	-0.13355345	-0.121127605	-0.67343444	-1.5066354	0.25297743
SRR6531656	0.30273816	-0.487444	-0.52155375	-1.2970301	0.052393615	1.98915	-0.40228087	0.20038861	-0.41053492	-0.5339876
SRR6531657	0.40165734	-0.48892686	-0.53475523	-1.2521923	0.00041621923	1.9449983	-0.32170165	0.15885222	-0.4608216	-0.5727751
SRR6531662	-3.657771	1.2427936	-0.5535848	1.807598	1.4657705	1.0391719	1.0175879	-3.1117866	3.206785	0.7336178
SRR6531663	-3.5942855	1.1957793	-0.53656805	1.678965	1.5434082	1.1143239	0.9181523	-3.02969	3.0044763	0.92157984
SRR6531666	-0.36135548	1.0800455	0.5921715	0.31574178	0.19422764	-0.55387264	0.3811518	0.10294777	-1.8531973	-0.45619494
SRR6531667	-0.40521437	1.0998052	0.6217667	0.35191095	0.16465831	-0.54042894	0.40198606	0.04243034	-1.8046882	-0.40051466
SRR6531668	-0.17161304	0.94224286	-0.38164496	-1.1861517	-0.092348576	0.0214625	0.8977279	-0.2347588	-0.46629786	-1.1516582
SRR6531669	-0.15418226	0.9546391	-0.31710893	-1.1813463	-0.11750591	0.103960335	0.8611931	-0.2690696	-0.49428254	-1.1739765
SRR6531670	-0.30966067	0.9148456	-0.35691488	-0.8155954	-0.80632013	-1.519223	0.050166056	-0.97002023	-1.293857	-0.49777877
SRR6531672	-0.31615752	0.92900467	-0.32184595	-0.80956376	-0.78177905	-1.5269377	0.047154978	-0.86017257	-1.2823839	-0.46175855
SRR6531673	-0.02494073	1.167845	0.53822005	0.5447979	0.16517138	1.0133724	-0.15514216	-0.68367404	-1.6767493	-0.16346112
SRR6531674	-0.015004158	1.0682937	0.5679183	0.50419295	0.20177865	0.9090015	-0.08081785	-0.62622756	-1.6712358	-0.2363206
SRR6531675	-0.29273605	0.113547206	0.19828975	-1.239938	0.30886906	-1.0933768	-0.1067366	-0.110960186	0.437936	-1.8430008
SRR6531676	-0.3599921	0.14900622	0.16778195	-1.2262414	0.21622866	-1.0183151	-0.12558734	-0.10665482	0.47343594	-1.9534042
SRR6531677	-0.27017593	0.27502084	-0.53427565	-1.1348833	-1.6564248	2.0133948	-1.3682926	-0.009965837	-0.2855866	-0.41551393
SRR6531678	-0.30731857	0.33866042	-0.5307914	-1.1320642	-1.7329531	2.105873	-1.4156139	-0.07613343	-0.3166296	-0.48552877
SRR6531679	-0.7973724	0.44394982	-1.055431	1.3771442	-1.7673181	-0.8827987	1.7347329	-0.039004147	-0.10429138	-0.8138895
SRR6531680	-0.7976262	0.4279968	-0.9910821	1.3468143	-1.7259631	-0.8261547	1.7154403	0.036848247	-0.13096714	-0.8223434
